CustomerID;State;City;Zip Code;Latitude;Longitude;Gender;Senior Citizen;Partner;Dependents;Tenure Months;Phone Service;Multiple Lines;Internet Service;Online Security;Online Backup;Device Protection;Tech Support;Streaming TV;Streaming Movies;Contract;Paperless Billing;Payment Method;Monthly Charges;Total Charges;Churn Label;Churn Score;CLTV;Churn Reason;Tenure Category;Monthly Charge Category;Total Services;Churn Risk;CLTV Category;Customer Status
3668-QPYBK;California;Los Angeles;90003;33,964131;-118,272783;Male;No;No;No;2;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;53,85;108,15;Yes;86;3239;Competitor made better offer;0-12 Months;Medium;3;Medium Risk;Medium Value;Churned
9237-HQITU;California;Los Angeles;90005;34,059281;-118,30742;Female;No;No;Yes;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;70,7;151,65;Yes;67;2701;Moved;0-12 Months;High;1;High Risk;Medium Value;Churned
9305-CDSKC;California;Los Angeles;90006;34,048013;-118,293953;Female;No;No;Yes;8;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;99,65;820,5;Yes;86;5372;Moved;0-12 Months;High;5;High Risk;High Value;Churned
7892-POOKP;California;Los Angeles;90010;34,062125;-118,315709;Female;No;Yes;Yes;28;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;104,8;3046,05;Yes;84;5003;Moved;25-48 Months;Premium;6;Low Risk;High Value;Churned
0280-XJGEX;California;Los Angeles;90015;34,039224;-118,266293;Male;No;No;Yes;49;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);103,7;5036,3;Yes;89;5340;Competitor had better devices;49+ Months;Premium;6;Low Risk;High Value;Churned
4190-MFLUW;California;Los Angeles;90020;34,066367;-118,309868;Female;No;Yes;No;10;Yes;No;DSL;No;No;Yes;Yes;No;No;Month-to-month;No;Credit card (automatic);55,2;528,35;Yes;78;5925;Competitor offered higher download speeds;0-12 Months;Medium;3;Medium Risk;High Value;Churned
8779-QRDMV;California;Los Angeles;90022;34,02381;-118,156582;Male;Yes;No;No;1;No;No phone service;DSL;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;39,65;39,65;Yes;100;5433;Competitor offered more data;0-12 Months;Medium;2;Medium Risk;High Value;Churned
1066-JKSGK;California;Los Angeles;90024;34,066303;-118,435479;Male;No;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,15;20,15;Yes;92;4832;Competitor made better offer;0-12 Months;Low;1;Medium Risk;High Value;Churned
6467-CHFZW;California;Los Angeles;90028;34,099869;-118,326843;Male;No;Yes;Yes;47;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;99,35;4749,15;Yes;77;5789;Competitor had better devices;25-48 Months;High;5;Low Risk;High Value;Churned
8665-UTDHZ;California;Los Angeles;90029;34,089953;-118,294824;Male;No;Yes;No;1;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;No;Electronic check;30,2;30,2;Yes;97;2915;Competitor had better devices;0-12 Months;Low;1;Medium Risk;Medium Value;Churned
8773-HHUOZ;California;Los Angeles;90032;34,078821;-118,177576;Female;No;No;No;17;Yes;No;DSL;No;No;No;No;Yes;Yes;Month-to-month;Yes;Mailed check;64,7;1093,1;Yes;74;3022;Competitor offered higher download speeds;13-24 Months;Medium;3;Medium Risk;Medium Value;Churned
6047-YHPVI;California;Los Angeles;90039;34,110845;-118,259595;Male;No;No;Yes;5;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69,7;316,9;Yes;66;2454;Competitor offered higher download speeds;0-12 Months;Medium;1;Medium Risk;Medium Value;Churned
5380-WJKOV;California;Los Angeles;90041;34,137412;-118,207607;Male;No;No;Yes;34;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;106,35;3549,25;Yes;65;2941;Competitor offered higher download speeds;25-48 Months;Premium;6;Low Risk;Medium Value;Churned
